"ID","Filial","Type_ts","passport_region","VIP","Brand","Model","Yr_production","GAP","married","KBM","KBM_prol_est","delta_kbm","deduct","deduct_amount","product","Bank","channel - map","category","kvs_type","Age","Exp","discount","Amount - gr","sex","premium_car","price_gr","price_prc","OSAGO_clnt","target"
"21","Волгоградский","Иностранные","Волгоградская область","","KIA","SPORTAGE","2016","Нет","Состоит в браке","4","2","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","RN","Водители согласно перечню","63","19","1","800000","M","0","15000","0.02","1","1"
"22","Московский","Иностранные","Московская область","","VOLVO","XC40","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","49","17","1","3000000","M","0","50000","0.015","1","0"
"23","Воронежский","Отечественные","Воронежская область","","LADA","VESTA","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","27","8","1","600000","F","0","20000","0.03","0","0"
"24","Пермский","Иностранные","Ямало-Ненецкий автономный округ","","FORD","KUGA","2018","Нет","Не состоит в браке","8","6","-2","Франшиза 2-ой страховой случай","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","29","10","1","1400000","M","0","65000","0.04","1","0"
"25","Санкт - Петербургский","Иностранные","Санкт-Петербург","","RENAULT","DUSTER","2016","Нет","Состоит в браке","6","4","-2","Безусловная франшиза","20000-","Классика","Банк","Автосалоны","RN","Водители согласно перечню","30","11","1","800000","F","0","30000","0.035","0","0"
"26","Ростовский","Иностранные","Ростовская область","","NISSAN","X-TRAIL","2018","Нет","Не состоит в браке","8","6","-2","Франшиза 2-ой страховой случай","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","38","20","1.05","1400000","F","0","60000","0.04","1","0"
"27","Московский","Отечественные","Московская область","","LADA","XRAY","2018","Нет","Состоит в браке","8","7","-1","Без франшизы","0","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","43","15","1.05","600000","F","0","30000","0.05","0","0"
"28","Ростовский","Иностранные","Ростовская область","","RENAULT","LOGAN","2018","Нет","Состоит в браке","8","6","-2","Франшиза 2-ой страховой случай","20000+","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","38","12","1.05","600000","M","0","40000","0.065","1","0"
"29","Волгоградский","Отечественные","Волгоградская область","","LADA","VESTA","2018","Нет","Не состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","39","15","1","600000","M","0","25000","0.045","0","1"
"30","Краснодарский","Отечественные","Республика Адыгея","","LADA","VESTA","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000-","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","54","36","1","600000","M","0","15000","0.03","1","0"
"31","Московский","Иностранные","Москва","","NISSAN","X-TRAIL","2018","Да","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","47","16","1.1","1600000","F","0","40000","0.02","0","1"
"32","Краснодарский","Иностранные","Ивановская область","","NISSAN","TERRANO","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Уверенный","Банк","Автосалоны","NB 0-1","Водители согласно перечню","30","9","1.1","800000","F","0","45000","0.045","1","1"
"33","Ставропольский","Иностранные","Ставропольский край","","FORD","FOCUS","2017","Нет","Не состоит в браке","6","4","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","RN","Водители согласно перечню","35","17","1","600000","M","0","40000","0.055","1","1"
"34","Краснодарский","Иностранные","Краснодарский край","","VOLKSWAGEN","POLO","2016","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Без банка","Автосалоны","RN sppg","Водители согласно перечню","50","22","0.9","400000","F","0","10000","0.015","1","0"
"35","Пермский","Иностранные","Пермский край","","VOLKSWAGEN","POLO","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","39","15","1","1000000","F","0","30000","0.03","0","0"
"36","Московский","Иностранные","Москва","","NISSAN","ALMERA","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","29","10","1.05","600000","M","0","35000","0.05","0","0"
"37","Челябинский","Иностранные","Челябинская область","","RENAULT","SANDERO","2016","Нет","Состоит в браке","6","4","-2","Безусловная франшиза","20000+","Классика","Без банка","Автосалоны","RN","Водители согласно перечню","43","11","1","400000","M","0","15000","0.035","0","1"
"38","Краснодарский","Отечественные","Краснодарский край","","LADA","KALINA","2017","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","RN","Водители согласно перечню","48","7","1","400000","F","0","10000","0.01","0","1"
"39","Московский","Иностранные","Чувашская Республика","","SKODA","RAPID","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","37","15","1","800000","M","0","35000","0.04","0","1"
"40","Санкт - Петербургский","Иностранные","Ленинградская область","","HYUNDAI","TUCSON","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","67","20","0.95","1600000","M","0","45000","0.025","0","0"
"41","Санкт - Петербургский","Иностранные","Санкт-Петербург","","VOLKSWAGEN","TIGUAN","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000-","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","33","9","1","1600000","F","0","35000","0.02","0","1"
"42","Московский","Иностранные","Москва","","TOYOTA","RAV 4","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","58","21","1","1800000","M","0","55000","0.03","0","1"
"43","Самарский","Иностранные","Самарская область","","HYUNDAI","CRETA","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","57","38","1","1200000","M","0","30000","0.025","0","0"
"44","Московский","Иностранные","Московская область","","NISSAN","QASHQAI","2014","Нет","Состоит в браке","4","2","-2","Франшиза 2-ой страховой случай","20000-","Классика","Без банка","Розница","RN","Водители согласно перечню","44","20","1","600000","M","0","20000","0.03","1","0"
"45","Московский","Иностранные","Московская область","","VOLKSWAGEN","TIGUAN","2016","Нет","Не состоит в браке","4","2","-2","Безусловная франшиза","20000+","Классика","Без банка","Автосалоны","RN","Водители согласно перечню","33","12","1","800000","F","0","20000","0.02","0","1"
"46","Нижегородский","Иностранные","н.д.","","MAZDA","CX-5","2018","Нет","Не состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Без банка","Автосалоны","NB 0-1","Ограничение по стажу и возрасту, без ограничения количества лиц","25","2","1.1","2200000"," ","0","70000","0.055","0","0"
"47","Кемеровский","Отечественные","Кемеровская область","","LADA","VESTA","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","NB 0-1","Водители согласно перечню","39","6","1.05","600000","M","0","10000","0.01","1","0"
"48","Московский","Иностранные","Санкт-Петербург","","AUDI","Q5","2014","Нет","Состоит в браке","2","0","-2","Без франшизы","0","Уверенный","Без банка","Розница","RN sppg","Водители согласно перечню","53","13","1.1","1200000","M","1","25000","0.015","1","0"
"49","Ижевский","Отечественные","Удмуртская Республика","","LADA","GRANTA","2016","Нет","Состоит в браке","4","2","-2","Безусловная франшиза","20000-","Классика","Сетелем","Автосалоны","RN","Водители согласно перечню","66","45","1.1","200000","M","0","10000","0.035","0","0"
"50","Воронежский","Отечественные","Воронежская область","","LADA","LARGUS","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","34","16","0.95","600000","F","0","25000","0.035","1","0"
"51","Московский","Иностранные","Московская область","","MITSUBISHI","PAJERO","2014","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Без банка","Розница","RN sppg","Водители согласно перечню","68","33","0.95","1200000","M","0","20000","0.015","1","1"
"52","Пермский","Отечественные","Пермский край","","LADA","GRANTA","2017","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Розница","NB 0-1","Водители согласно перечню","34","4","1.05","200000","M","0","10000","0.02","0","0"
"53","Ставропольский","Иностранные","Ставропольский край","","KIA","OPTIMA","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","44","24","0.95","1400000","M","0","70000","0.05","1","0"
"54","Белгородский","Иностранные","Республика Саха (Якутия)","","FORD","ECOSPORT","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","59","40","1","1000000","M","0","15000","0.015","1","1"
"55","Московский","Иностранные","Московская область","","MITSUBISHI","OUTLANDER","2017","Нет","Состоит в браке","6","4","-2","Без франшизы","0","Классика","Банк","Автосалоны","RN","Водители согласно перечню","45","16","1","1200000","M","0","60000","0.045","0","1"
"56","Краснодарский","Иностранные","Краснодарский край","","VOLKSWAGEN","TIGUAN","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","53","17","1","1800000","M","0","65000","0.03","1","0"
"57","Самарский","Иностранные","Самарская область","","HYUNDAI","CRETA","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","50","30","1","1200000","M","0","40000","0.025","1","1"
"58","Ростовский","Иностранные","Ростовская область","","MITSUBISHI","OUTLANDER","2016","Нет","Состоит в браке","6","4","-2","Без франшизы","0","Уверенный","Без банка","Розница","RN sppg","Водители согласно перечню","61","42","1","1400000","M","0","30000","0.02","1","1"
"59","Самарский","Иностранные","Самарская область","","HYUNDAI","SOLARIS","2016","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","RN","Водители согласно перечню","55","25","1","400000","M","0","10000","0.02","1","0"
"60","Краснодарский","Иностранные","Краснодарский край","","NISSAN","X-TRAIL","2018","Нет","Не состоит в браке","8","7","-1","Франшиза 2-ой страховой случай","20000+","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","56","24","1","1200000","M","0","60000","0.045","1","0"
"61","Московский","Иностранные","Москва","","TOYOTA","RAV 4","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","65","23","0.95","1400000","F","0","50000","0.03","1","0"
"62","Магнитогорский","Отечественные","Челябинская область","","LADA","XRAY","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","29","7","0.9","600000","M","0","40000","0.06","0","0"
"63","Санкт - Петербургский","Иностранные","Санкт-Петербург","","VOLKSWAGEN","POLO","2014","Нет","Состоит в браке","1","0","-1","Без франшизы","0","Классика","Банк","Розница","RN","Водители согласно перечню","29","0","1.1","400000","M","0","40000","0.095","1","0"
"64","Пермский","Иностранные","Пермский край","","LEXUS","NX","2015","Нет","Состоит в браке","4","2","-2","Без франшизы","0","Уверенный","Без банка","Автосалоны","RN","Водители согласно перечню","45","16","1.1","2000000","M","1","50000","0.025","1","1"
"65","Московский","Иностранные","Москва","","HYUNDAI","CRETA","2018","Нет","Не состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","39","13","1","1000000","F","0","30000","0.03","0","1"
"66","Краснодарский","Иностранные","Краснодарский край","","HYUNDAI","SOLARIS","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","36","17","1","800000","F","0","60000","0.07","0","0"
"67","Московский","Иностранные","Московская область","","HYUNDAI","I30","2010","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","NB 2+","Водители согласно перечню","59","33","1","400000","M","0","10000","0.025","0","0"
"68","Воронежский","Иностранные","Воронежская область","","KIA","SOUL","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","42","6","1","1000000","F","0","10000","0.01","0","0"
"69","Белгородский","Иностранные","Белгородская область","","FORD","KUGA","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","68","18","1","1400000","M","0","40000","0.025","1","0"
"70","Краснодарский","Иностранные","Санкт-Петербург","","VOLKSWAGEN","POLO","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","58","26","0.95","600000","M","0","45000","0.06","0","0"
"71","Московский","Иностранные","Московская область","","MERCEDES-BENZ","GLC","2018","Нет","Не состоит в браке","8","6","-2","Франшиза 2-ой страховой случай","20000+","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","35","13","1.1","3000000","F","1","70000","0.02","1","0"
"72","Московский","Иностранные","Архангельская область","","FORD","KUGA","2014","Да","Состоит в браке","8","6","-2","Франшиза 2-ой страховой случай","20000-","Legacy","Без банка","Розница","NB 2+","Водители согласно перечню","44","17","1.05","1000000","M","0","35000","0.03","0","0"
"73","Московский","Иностранные","Москва","","KIA","SOUL","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","41","12","0.95","1000000","M","0","30000","0.03","0","0"
"74","Челябинский","Отечественные","Челябинская область","","LADA","VESTA","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","56","37","1","600000","M","0","15000","0.025","0","0"
"75","Московский","Иностранные","Москва","","HYUNDAI","SOLARIS","2018","Нет","Не состоит в браке","8","6","-2","Без франшизы","0","Компакт","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","51","23","1","600000","M","0","15000","0.02","1","0"
"76","Кемеровский","Отечественные","Кемеровская область","","LADA","VESTA","2017","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","RN","Водители согласно перечню","40","17","1","600000","M","0","10000","0.005","0","0"
"77","Самарский","Иностранные","Самарская область","","FORD","FOCUS","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","37","18","1.05","1000000","M","0","35000","0.03","0","1"
"78","Екатеринбургский","Отечественные","Свердловская область","","LADA","LARGUS","2018","Да","Не состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Автосалоны","NB 0-1","Водители согласно перечню","38","17","1.05","400000","F","0","15000","0.03","0","0"
"79","Ростовский","Иностранные","Ростовская область","","VOLKSWAGEN","POLO","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","34","11","1","800000","F","0","50000","0.055","0","0"
"80","Московский","Иностранные","Московская область","","MITSUBISHI","PAJERO SPORT","2018","Нет","Состоит в браке","8","7","-1","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","64","22","1","2000000","M","0","70000","0.035","0","0"
"81","Санкт - Петербургский","Иностранные","Санкт-Петербург","","NISSAN","TERRANO","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","61","42","1.1","800000","M","0","35000","0.04","1","0"
"82","Московский","Отечественные","Москва","","UAZ","PATRIOT","2016","Нет","Состоит в браке","5","3","-2","Без франшизы","0","Классика","Сетелем","Розница","RN","Водители согласно перечню","57","28","1.05","400000","M","0","15000","0.04","1","0"
"83","Тульский","Иностранные","Тульская область","","KIA","OPTIMA","2018","Нет","Состоит в браке","8","6","-2","Франшиза 2-ой страховой случай","20000-","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","50","16","1.05","1400000","M","0","50000","0.035","1","0"
"84","Магнитогорский","Иностранные","Республика Башкортостан","","DATSUN","ON-DO","2017","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Банк","Розница","NB 0-1","Водители согласно перечню","58","8","1","400000","M","0","10000","0.01","0","1"
"85","Санкт - Петербургский","Иностранные","Москва","Особый статус +","MERCEDES-BENZ","E","2014","Да","Состоит в браке","6","4","-2","Безусловная франшиза","20000+","Классика","Без банка","Розница","RN","Водители согласно перечню","31","9","1","1600000","M","1","70000","0.065","1","1"
"86","Ижевский","Отечественные","Удмуртская Республика","","LADA","VESTA","2017","Нет","Состоит в браке","6","4","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","RN","Водители согласно перечню","37","19","1.1","400000","M","0","10000","0.02","0","0"
"87","Новосибирский","Иностранные","Кемеровская область","","KIA","CEED","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","31","6","1.1","1000000","M","0","40000","0.04","1","0"
"88","Тверской","Отечественные","Тверская область","","CHEVROLET","NIVA","2018","Нет","Не состоит в браке","8","6","-2","Без франшизы","0","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","32","14","1.1","400000","M","0","25000","0.045","1","0"
"89","Московский","Отечественные","Московская область","","LADA","KALINA","2017","Да","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Без банка","Розница","RN","Водители согласно перечню","43","17","1","400000","M","0","10000","0.01","1","1"
"90","Краснодарский","Иностранные","Республика Адыгея","","DATSUN","ON-DO","2018","Нет","Состоит в браке","8","6","-2","Франшиза 2-ой страховой случай","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","33","14","1","400000","F","0","40000","0.075","1","0"
"91","Краснодарский","Иностранные","Краснодарский край","","HYUNDAI","SOLARIS","2018","Нет","Состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","26","5","0.9","800000","M","0","55000","0.065","0","0"
"92","Волгоградский","Отечественные","Волгоградская область","","LADA","XRAY","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","62","39","1","600000","M","0","25000","0.035","1","1"
"93","Московский","Иностранные","Москва","","RENAULT","DUSTER","2018","Нет","Не состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","63","44","0.95","800000","F","0","10000","0.015","0","1"
"94","Воронежский","Иностранные","Воронежская область","","TOYOTA","LAND CRUISER","2017","Нет","Состоит в браке","6","4","-2","Без франшизы","0","Классика","Без банка","Автосалоны","RN sppg","Водители согласно перечню","45","27","1.1","3000000","M","1","70000","0.035","1","1"
"95","Казанский","Иностранные","Республика Татарстан","","FORD","FOCUS","2018","Нет","Состоит в браке","8","6","-2","Франшиза 2-ой страховой случай","20000-","Классика","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","53","21","0.9","800000","M","0","35000","0.035","0","0"
"96","Московский","Иностранные","Московская область","","BMW","X1","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","27","5","1","1800000","F","1","70000","0.035","1","0"
"97","Воронежский","Иностранные","Воронежская область","","BMW","X6","2017","Нет","Состоит в браке","6","4","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","RN","Водители согласно перечню","44","25","1.1","3000000","M","1","70000","0.025","1","1"
"98","Воронежский","Иностранные","Воронежская область","","TOYOTA","LAND CRUISER PRADO 150","2017","Нет","Состоит в браке","6","4","-2","Без франшизы","0","Классика","Банк","Автосалоны","RN","Водители согласно перечню","47","28","1.05","2400000","M","1","70000","0.035","1","0"
"99","Екатеринбургский","Отечественные","Республика Татарстан","","LADA","XRAY","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","32","11","1","600000","F","0","30000","0.055","0","0"
"100","Московский","Иностранные","Смоленская область","","HYUNDAI","SOLARIS","2018","Нет","Не состоит в браке","8","6","-2","Безусловная франшиза","20000+","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","36","16","0.9","800000","M","0","30000","0.035","1","0"
"101","Нижегородский","Иностранные","Нижегородская область","","HYUNDAI","SANTA FE","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Классика","Сетелем","Автосалоны","NB 0-1","Водители согласно перечню","67","39","1.1","1800000","M","0","45000","0.02","1","0"
"102","Краснодарский","Иностранные","Краснодарский край","","NISSAN","X-TRAIL","2018","Нет","Состоит в браке","8","6","-2","Франшиза 2-ой страховой случай","20000-","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","58","24","1","1600000","M","0","60000","0.035","0","0"
"103","Воронежский","Отечественные","Липецкая область","","LADA","2121","2018","Нет","Не состоит в браке","8","6","-2","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","33","15","1","400000","M","0","15000","0.035","1","0"
"104","Самарский","Иностранные","Самарская область","","RENAULT","DUSTER","2018","Нет","Состоит в браке","8","6","-2","Без франшизы","0","Компакт","Без банка","Автосалоны","NB 0-1","Водители согласно перечню","60","37","1","800000","M","0","10000","0.005","1","0"
"105","Ижевский","Отечественные","Удмуртская Республика","","LADA","2131","2014","Нет","Состоит в браке","2","0","-2","Безусловная франшиза","20000+","Классика","Сетелем","Автосалоны","RN","Водители согласно перечню","61","40","1","200000","M","0","10000","0.02","1","0"
"106","Московский","Иностранные","Ростовская область","","VOLKSWAGEN","TIGUAN","2018","Да","Состоит в браке","8","7","-1","Без франшизы","0","Классика","Банк","Автосалоны","NB 0-1","Водители согласно перечню","58","22","0.9","2000000","M","0","40000","0.02","0","1"
"107","Новосибирский","Иностранные","Новосибирская область","","HYUNDAI","SOLARIS","2016","Нет","Состоит в браке","6","4","-2","Безусловная франшиза","20000+","Классика","Банк","Розница","RN","Водители согласно перечню","36","13","0.9","400000","M","0","15000","0.035","1","0"
